sentence,quarter,topic,topic_label
population and its a premium customer base,2022 Q4,0,Growth & Spending
"And, you know, that premium customer base, while not immune to economic downturn, certainly, right now, is spending on through",2022 Q4,0,Growth & Spending
"And so, you know, the other thing that weve been doing is, you know, were constantly, you know, tightening up, you know, the cardmembers that were acquiring",2022 Q4,0,Growth & Spending
"I mean, look, the cardmember base we have today is, from a credit perspective, better than the cardmember base that we had, you know, pre-pandemic",2022 Q4,-1,General
"And, you know, cardmembers were acquiring today are reaching a higher hurdle rate than ones we acquired just a year ago",2022 Q4,0,Growth & Spending
"And, you know, because of the value, there is still a good pool of customers that are out there",2022 Q4,0,Growth & Spending
"As far as, you know, overall white-collar unemployment, what I would say is, yeah, youve seen some headlines of individual companies that are, you know, going through layoffs",2022 Q4,0,Growth & Spending
"But the one thing that I would say is, I think its really important to look at where these companies were pre-pandemic",2022 Q4,0,Growth & Spending
And theyre probably still at employment levels that are much higher than what they were pre-pandemic,2022 Q4,0,Growth & Spending
"And so, theres a rightsizing a little bit",2022 Q4,0,Growth & Spending
"But even with that rightsizing, you know, we still have unemployment rates under 4",2022 Q4,0,Growth & Spending
"And so, look, we look at unemployment, but it has not, at this particular point in time, had any impact on our cardmember base",2022 Q4,0,Growth & Spending
"I mean, you know, again, were, you know, keeping our right offset, you know, 0.8 and 0.6 is, you know, sort of not sustainable",2022 Q4,-1,General
"And were at, you know, 1.1",2022 Q4,-1,General
"As Jeff said, you know, it shows on the slides and that will take up a little bit over time",2022 Q4,0,Growth & Spending
But thats just normal for the business,2022 Q4,0,Growth & Spending
"So, I think what you have to really -- you have to look at is this is a premium cardmember base that appreciates premium products and is spending",2022 Q4,0,Growth & Spending
And it is a Inaudible it is a small piece of the overall U.S,2022 Q4,0,Growth & Spending
economy,2022 Q4,-1,General
"And, you know, weve talked about the economy being bifurcated, and theres probably no better example of what we have here",2022 Q4,-1,General
"The other thing that I would say, and when you think about revenue growth, unlike our competitors, you know, we have a three-legged revenue stool here, right? Youve got fees that we get for merchants",2022 Q4,0,Growth & Spending
You have card fees,2022 Q4,0,Growth & Spending
"Now card fees were 25 growth in the -- you know, in the fourth quarter",2022 Q4,0,Growth & Spending
"And while, you know, thats a high number, you know, we certainly expect double-digit card fee growth to continue",2022 Q4,0,Growth & Spending
"And then, you have obviously -- which is a smaller portion of our business",2022 Q4,0,Growth & Spending
"You know, we have obviously, you know -- interest you know -- interest revenues as well",2022 Q4,0,Growth & Spending
"So, you know, we look at the cardmembers were acquiring",2022 Q4,0,Growth & Spending
Were really looking at acquiring revenue across those three components,2022 Q4,0,Growth & Spending
And the other thing that I would point you to is 70 of the cards that we acquire are paying fees,2022 Q4,0,Growth & Spending
"So, you know, thats how we come up with 15 to 17",2022 Q4,-1,General
Operator Thank you,2022 Q4,2,Customer & Cards
The next question is coming from Sanjay Sakhrani of KBW,2022 Q4,1,Executive & Financial
Please go ahead,2022 Q4,2,Customer & Cards
"Sanjay Sakhrani -- Keefe, Bruyette and Woods -- Analyst Thanks",2022 Q4,1,Executive & Financial
Good morning,2022 Q4,3,Outlook & Guidance
Its a revenue question as well,2022 Q4,0,Growth & Spending
"Jeff, could you maybe just disaggregate the building blocks of the revenue growth? You know, I know you mentioned a couple of things in terms of the trends on fees and NII",2022 Q4,0,Growth & Spending
Im just looking at discount revenue and the year-over-year change in growth,2022 Q4,0,Growth & Spending
And that sort of decelerated a little bit more than I had anticipated,2022 Q4,-1,General
"I guess, does that slow down? Maybe some help there would be helpful",2022 Q4,-1,General
"Jeff Campbell -- Chief Financial Officer I think, Sanjay, the building blocks are pretty straightforward",2022 Q4,1,Executive & Financial
"And of course, as Steve just pointed out, in our model, you always have to start spending, right? Because thats what drives our model, not lending",2022 Q4,0,Growth & Spending
"And I think probably the important words that I would pick out of some of the things Steve and I have just said is, for most of our spending categories, if you think about whats important in terms of dollars, we really have hit a recovery point",2022 Q4,0,Growth & Spending
"And so, as we look at the Q4 rates, I actually see those exit rates is approaching pretty stable levels for what we think, given the tremendous success were having in bringing new customers into the franchise",2022 Q4,-1,General
"Because, as you know, Sanjay, that is a key aspect of what drives our growth",2022 Q4,1,Executive & Financial
I actually see those rates being fairly stable going forward,2022 Q4,0,Growth & Spending
"So, thats what drives, first, really strong discount revenue growth",2022 Q4,0,Growth & Spending
"You know, our card fee growth, as Steve just mentioned, is super sustainable",2022 Q4,0,Growth & Spending
I just remind everyone that is the one line item that grew double digits right through all the ups and downs of the pandemic,2022 Q4,0,Growth & Spending
"And, gosh, our latest figures that Steve just gave you, 70 of our cardmembers on fee-paying products this quarter, we have a long ways to go to keep growing that card fees",2022 Q4,0,Growth & Spending
"And then, look, its the third leg of the stool",2022 Q4,-1,General
"Its only 19, 20 of our revenues",2022 Q4,-1,General
But net interest income matters,2022 Q4,0,Growth & Spending
And we are still in a rebuilding mode of balance,2022 Q4,-1,General
"Certainly, that process has now begun in earnest",2022 Q4,0,Growth & Spending
And thats why you saw our loans grow a little faster than volumes this quarter,2022 Q4,0,Growth & Spending
"So, you know, I dont expect to see quite as high a rate next year as you saw in Q4, but its still above, in 2023, I would say the stable level and still above where we were pre-pandemic because of that rebuilding process",2022 Q4,-1,General
"So, you put all that together with the comments that youve now heard both Steve and I make, which is, look, we got to run the business based on what we see with our customers who are premium consumers, select segments of small businesses, and the large companies in the world, and thats where you get to the 15 to 17 revenue growth",2022 Q4,-1,General
Operator Thank you,2022 Q4,2,Customer & Cards
The next question is coming from Betsy Graseck of Morgan Stanley,2022 Q4,1,Executive & Financial
Please go ahead,2022 Q4,2,Customer & Cards
Betsy Graseck -- Morgan Stanley -- Analyst Hi,2022 Q4,1,Executive & Financial
Good morning,2022 Q4,3,Outlook & Guidance
"Steve Squeri -- Chairman and Chief Executive Officer Good morning, Betsy",2022 Q4,1,Executive & Financial
"Betsy Graseck -- Morgan Stanley -- Analyst So, another, you know, kind of subtext on this theme, I wanted to understand a little bit about how I should be triangulating the revenue growth outlook, which is very clear with the comments around normalization of credit",2022 Q4,1,Executive & Financial
"Should I be expecting that youre underwriting to that pre-pandemic level of, was it, 2.3 on the slide, with marketing spend being flat and the proprietary, you know, net acquired accounts here, you know, coming down a little bit in the quarter",2022 Q4,-1,General
"So, when I see all that, Im thinking that your, you know, bubble of account acquisitions, you know, is through, I suppose, and you dont need that marketing dollars to drive that incremental rev growth",2022 Q4,0,Growth & Spending
"At the same time as, you know, youre underwriting to a group -- a credit pool thats similar to pre-pandemic, so we should have that, you know, NCO trajectory move back up toward pre-pandemic",2022 Q4,-1,General
"Or is there something, you know, that Im missing in pulling that all together? Thanks",2022 Q4,-1,General
Steve Squeri -- Chairman and Chief Executive Officer Thanks,2022 Q4,1,Executive & Financial
"Well, Ill -- theres a lot there",2022 Q4,-1,General
But let me try and talk about marketing and Jeff can pick up on other components,2022 Q4,1,Executive & Financial
"But so, you know, the 5.5 billion of marketing spend was, you know, all-time record high and, you know, the 12.5 million cards that we acquired",2022 Q4,0,Growth & Spending
"The fact that you saw a 300,000 card decrease, you know, sort of sequentially quarter over quarter is not something that were concerned about at all and, you know, some of the timing of when you do your acquisition and so forth",2022 Q4,0,Growth & Spending
And so -- but the key point here is that we are looking at marketing efficiencies,2022 Q4,-1,General
"And, you know, we continuously raise the bar on who we are, you know, bringing into the franchise",2022 Q4,-1,General
"So, you know, were not -- I wouldnt say were at a bubble in terms of card acquisition",2022 Q4,0,Growth & Spending
We dont project card acquisition,2022 Q4,0,Growth & Spending
We provide the card acquisition numbers,2022 Q4,0,Growth & Spending
"But you know, for us -- and probably we need to do a better job, you know, going forward from a metrics perspective",2022 Q4,-1,General
But we really look at revenue,2022 Q4,0,Growth & Spending
"I mean, we look at the cards that we acquire in terms of how much revenue we can acquire",2022 Q4,0,Growth & Spending
"You know, its the same thing with billings",2022 Q4,0,Growth & Spending
"I mean, not all billings are created equal",2022 Q4,0,Growth & Spending
"I mean, theres billings that you have that dont have a lot of value to it within the industry",2022 Q4,0,Growth & Spending
"We look at profitable billings, we look at card fees, and we look at that, as Jeff said, you know, interest income",2022 Q4,-1,General
"So, I wouldnt take away from this that were at an inflection point or a bubble or anything like that",2022 Q4,0,Growth & Spending
I think the 5.5 billion is a tremendous amount of money to go out there and acquire with,2022 Q4,0,Growth & Spending
And were pushing the organization to even be more efficient and more effective with that money,2022 Q4,-1,General
"So, you know, were looking at the same kind of acquisition levels that weve had in the past with higher underwriting standards as well",2022 Q4,-1,General
"As far as operating expenses go, and, you know, as you start to think about that, we had a big step-up in operating expenses as we had tremendous growth, and, you know, having had a lot of experience running the components of this organization from both a technology perspective and an operating perspective, travel, and what have you",2022 Q4,0,Growth & Spending
"As you see those volume increases, you need to manage and get to that -- to get to that next level of scale",2022 Q4,-1,General
And we believe that we have gotten to that next level of scale and well get back to normal operating expense growth,2022 Q4,0,Growth & Spending
"And the other part of it, just like everybody else, Audio gap increase, there was some inflationary pressure within there",2022 Q4,0,Growth & Spending
"But make no mistake about it, there was -- we had to get to another scale",2022 Q4,-1,General
When you have 25 revenue growth -- we have 25 billings growth,2022 Q4,0,Growth & Spending
"When you have, you know, travel bookings that -- you know at all-time highs and continuing to increase quarter over quarter, you have to put in place, not only the digital capabilities, but the people to make sure that you can handle all that",2022 Q4,0,Growth & Spending
"So, from an expense perspective, the reason were able to, you know, say that we think, you know, marketing will be where it is and operating expenses will not grow at the same level that they will is because we believe weve gotten to that scale component, that we now believe that we can grow revenues 15 to 17, get into a 10 growth mode, plus 10-plus growth mode 2024 and beyond, with that scale until the point in time -- and I dont know when that is -- where we have to have another scale, you know, jump",2022 Q4,-1,General
But what you saw from a growth perspective last year was all about the scale,2022 Q4,0,Growth & Spending
"So, Jeff, you want to talk about credit or anything else or -- Jeff Campbell -- Chief Financial Officer No, I think you got it",2022 Q4,1,Executive & Financial
Steve Squeri -- Chairman and Chief Executive Officer All right,2022 Q4,1,Executive & Financial
"So, thats how I would think about that in terms of going below, you know, sort of the components of revenue and how expenses relate to that revenue",2022 Q4,0,Growth & Spending
Operator Thank you,2022 Q4,2,Customer & Cards
The next question is coming from Mark DeVries of Barclays,2022 Q4,1,Executive & Financial
Please go ahead,2022 Q4,2,Customer & Cards
"Mark DeVries -- Barclays -- Analyst Yeah, Thank you",2022 Q4,1,Executive & Financial
"Im sorry if I missed this, but can you talk about how sensitive your revenue guidance is to the macro? Kind of what gets you to the high and low end of the range you provided? And are you using at all the same assumptions around GDP and unemployment that you use to, you know, to kind of set the reserve levels? Jeff Campbell -- Chief Financial Officer You know, Mark, one of the interesting things that I think surprises people, as we have looked historically every way you can imagine, trying to find really direct correlations between GDP growth and, for that matter, between movements in the markets that affect peoples financial wealth, and the-- I think surprising thing to many people is we cant find any direct correlation between those two things",2022 Q4,0,Growth & Spending
"So, when you look at our 15 to 17 guidance, its really come back to what Steve and I have both now said a couple of times, driven by our best indicator is what we see with our customers around the globe and how theyre behaving",2022 Q4,-1,General
And we certainly are aware of and think about various macroeconomic forecasts,2022 Q4,-1,General
But you start with what behaviors are we actually seeing,2022 Q4,-1,General
"And Id also remind everyone that, you know, the U.S",2022 Q4,0,Growth & Spending
remains by far the largest market,2022 Q4,-1,General
The U.S,2022 Q4,0,Growth & Spending
economy shrank in the first two quarters of 2022,2022 Q4,-1,General
"And we just posted revenue growth for the full year, 25",2022 Q4,0,Growth & Spending
"So, when I think about the 15 to 17 range, its really not, oh, 15 is a weaker economy than 17",2022 Q4,-1,General
"Frankly, its -- I wish we were more precise about forecasting, but its just a little bit of forecast error",2022 Q4,-1,General
"I would say, based on the trends weve seen and the macroeconomic consensus, which is absolutely -- you know, the economy is supposed to slow when you look at that consensus, and thats factored in here as well",2022 Q4,0,Growth & Spending
Operator Thank you,2022 Q4,2,Customer & Cards
The next question is coming from Mihir Bhatia of Bank of America,2022 Q4,1,Executive & Financial
Please go ahead,2022 Q4,2,Customer & Cards
Mihir Bhatia -- Bank of America Merrill Lynch -- Analyst Thank you,2022 Q4,1,Executive & Financial
"Jeff Campbell -- Chief Financial Officer Good morning, Mihir",2022 Q4,1,Executive & Financial
Mihir Bhatia -- Bank of America Merrill Lynch -- Analyst I think you said -- good morning -- I think you said 70 of existing loan -- lending growth came from existing members,2022 Q4,0,Growth & Spending
"Is there a similar metric you can share on the spending side? Im just trying to understand, as things normalize and, you know, we get into more of a normal cadence, how -- you know, maybe help us project a little bit on spending growth, how that can translate as we look at your last few quarters of strong acquisitions",2022 Q4,0,Growth & Spending
Thanks,2022 Q4,2,Customer & Cards
"Jeff Campbell -- Chief Financial Officer Well, so what I would say is that when you look at lending, I am going to go back to that 70 number",2022 Q4,1,Executive & Financial
And I do think its an important one to think about the implications,2022 Q4,0,Growth & Spending
"I think, occasionally, people look at our loan growth and say, Oh, is that all the new customers youre acquiring? And, you know, what do you know about them? And so, we actually draw a lot of comfort from the fact that you have 70 of that loan growth coming from just our existing customers that we know well, that we have history with",2022 Q4,0,Growth & Spending
Were really just rebuilding more toward historical levels,2022 Q4,-1,General
"If you think about spending, you know, in our model, we talk a lot about the fact that we have, I think, by the standards of most industries, remarkably higher retention rates, you know, in the high 90, well, range",2022 Q4,0,Growth & Spending
And thats a real key strength of our model,2022 Q4,0,Growth & Spending
"Once we get someone into the franchise, they tend to stay",2022 Q4,-1,General
"You know, that group, depending on the economy, is growing organically a little bit",2022 Q4,0,Growth & Spending
"When you think about adding our new customers, that is a key engine at any point in time of adding another -- you know, in a normal environment and it varies over time, but I might think youre around an 8 to 10 kind of number",2022 Q4,0,Growth & Spending
"So, its a mixture of super low retention, what were doing to spur more spending by our existing customers, and that steady flow of new customers",2022 Q4,0,Growth & Spending
"And so, you know, one of the things that -- again, that Steve and I have both just talked about because I think people seem a little surprised, Steve, by the 15 to 17 is a key driver why were comfortable with that is our tremendous success over the last year and in the first weeks of 2023 in bringing great new customers into the franchise",2022 Q4,-1,General
Steve Squeri -- Chairman and Chief Executive Officer Yeah,2022 Q4,1,Executive & Financial
"And the other thing I would say is -- and I said this in my remarks -- you know, this virtuous cycle that we talk about, you know, the more cardmembers we bring in, the more, you know, merchant and partner offers that we can get",2022 Q4,0,Growth & Spending
"And so, you know, the engagement -- the increased engagement from existing cardholders is a really important driver of growth",2022 Q4,0,Growth & Spending
"So, that -- the membership model is, you know, we just dont bring our cardmembers in and sort of watch them, you know, hope they grow",2022 Q4,0,Growth & Spending
"You know, we bring our cardmembers in, and we want to work with them to grow",2022 Q4,0,Growth & Spending
"We do that from a small business perspective with our account development teams, making sure that theyre taking advantage of all the benefits of the card, making sure that theyre spending in categories that they can spend in, maximizing rewards, and so forth",2022 Q4,0,Growth & Spending
"And we do that, you know, with our core base from an offer perspective, you know, through Amex offers, through other, you know, direct offers from, you know, partners, you know, embedded offers within the model",2022 Q4,0,Growth & Spending
"And so, you know, a lot of our engagement, you know, not only from a customer service perspective, is to making sure that our cardmembers are taking advantage of all the aspects of the card that are out there",2022 Q4,0,Growth & Spending
"And so, you know, we really look to grow, you know, same-store sales, right? I mean, so from existing card members, you know, were constantly looking to grow that share of their wallet",2022 Q4,0,Growth & Spending
"And again, that gets easier as the cycle gets bigger because more and more merchants want to reach more and more of our cardmembers",2022 Q4,0,Growth & Spending
Operator Thank you,2022 Q4,2,Customer & Cards
The next question is coming from Brian Foran of Autonomous Research,2022 Q4,1,Executive & Financial
Please go ahead,2022 Q4,2,Customer & Cards
Brian Foran -- Autonomous Research -- Analyst Hi,2022 Q4,1,Executive & Financial
"Obviously, you know, a very positive outlook",2022 Q4,-1,General
"I dont want to sound negative, but I think what were all kind of dealing with is investors being like, This is great",2022 Q4,0,Growth & Spending
Ill take it,2022 Q4,2,Customer & Cards
"But help me think about, you know, what are the risks? Where could it go wrong? So, maybe one question and one follow-up along the same theme",2022 Q4,-1,General
"You know, Jeff, when you were talking about the macro sensitivity, one question I hear sometimes is, you know, the note that the aspirational 2024 and beyond is a steady-state macro",2022 Q4,0,Growth & Spending
"And I get the investor question, like, wheres the dividing line? Like, what would a non-steady-state macro look like where that guidance would then -- aspiration, you know, would then not apply? So, maybe you could touch on that",2022 Q4,-1,General
"Like, what are the bounds in your mind for a steady-state macro? Jeff Campbell -- Chief Financial Officer Well, I think, Brian, I would start with two comments",2022 Q4,1,Executive & Financial
"First, when you think about our long-term aspirations, we dont actually worry about recessions at all, because the reality is, at some point -- and I dont know if its six months from now or six years -- there will be a recession",2022 Q4,0,Growth & Spending
And after that recession will be a recovery,2022 Q4,0,Growth & Spending
And it doesnt change our view of we should be able to steadily grow this company in excess of 10,2022 Q4,-1,General
"Now, when theres a recession where you see a very significant shrinkage in GDP, so not like the first half of last year where maybe the U.S",2022 Q4,0,Growth & Spending
"GDP went down a half a point or something, but where you suddenly see a quarter or two where you have pandemic-like or great financial crisis-like, you know, large percentage declines in GDP and you see huge spikes in unemployment",2022 Q4,0,Growth & Spending
"You know, if you go back to one of the appendix slides, you will see that our CECL credit reserve accounting assumes a baseline and also builds in a downside scenario",2022 Q4,0,Growth & Spending
"In that downside scenario, you have 8 unemployment by the third quarter of 2023",2022 Q4,-1,General
"Well, you know, if theres 8 employment by the third quarter of 2023, were going to have a few quarters where were probably below our longer-term aspirations",2022 Q4,-1,General
But its that kind of large shock thats going to knock us off for a few quarters,2022 Q4,0,Growth & Spending
"But I really want to keep coming back to -- and I suspect, Steve, you might reinforce this -- but it doesnt change our long-term aspirations or how were going to run the company",2022 Q4,0,Growth & Spending
Steve Squeri -- Chairman and Chief Executive Officer No,2022 Q4,1,Executive & Financial
"And I think, you know, just go back to the pandemic",2022 Q4,0,Growth & Spending
"So, you know, look, we pulled back on acquiring cardmembers because I dont think anybody had any line of sight",2022 Q4,0,Growth & Spending
"I mean, the pandemic was worse than the financial crisis from a credit underwriting perspective",2022 Q4,-1,General
"You know, you never say never",2022 Q4,0,Growth & Spending
"But, you know, thats sort of like the 100-year flood, right? And so, you know, my perspective is, you know, well still acquire in that kind of scenario",2022 Q4,0,Growth & Spending
"And remember, everything we acquire today, we acquire through the cycle",2022 Q4,-1,General
But what we would do is move the credit criteria even further up,2022 Q4,0,Growth & Spending
But what we would do again is we would engage with our cardmembers,2022 Q4,0,Growth & Spending
"I think one of the most successful things that we did during the pandemic was retaining cardholders, retaining those cardholders, whether it was through financial relief programs that got them through the hump for a couple of months or six months, whatever it was, or engaging them to spend in other areas and to want to stick to -- stick with us",2022 Q4,0,Growth & Spending
"So, you know, the reality is, is that, you know, if we were running this business quarter to quarter, which we dont, you know, you would pull back",2022 Q4,0,Growth & Spending
"But the reality is, as Jeff said, after every recession is a recovery",2022 Q4,0,Growth & Spending
And the last thing you want to do is retrench in such a way that youre not going to be able to take advantage of the recovery,2022 Q4,-1,General
"And that retrenchment, you know -- you know, it looks like, you know, layoffs that dont make sense and, you know, market pulling back on marketing, and trying to hit a -- hit an EPS number for a quarter or for a year that, you know, is irrelevant",2022 Q4,0,Growth & Spending
Whats relevant is for a 172-year-old company to continue to grow over the medium and long term,2022 Q4,0,Growth & Spending
And the way you do that is you invest judiciously and you invest smartly,2022 Q4,0,Growth & Spending
"And in times when things are bad, you invest in your infrastructure, you invest in your people because youre going to need great people through -- when a recession is over and Inaudible is going to need to do that",2022 Q4,0,Growth & Spending
And where companies make mistakes is let go of great people and also do not invest in those things theyre going to need six to nine months from now when the recession is over,2022 Q4,0,Growth & Spending
"So, yeah, we may have a moment in time",2022 Q4,-1,General
"As Jeff said, it could be six months, it could be six years, but there will be a time when we dont make that",2022 Q4,-1,General
And -- but there will be a time when we see that,2022 Q4,-1,General
"And thats why we say, you know, our long-term aspiration is for 10 -- you know, 10 plus growth in revenue",2022 Q4,0,Growth & Spending
"And, you know, we feel were on our way to that",2022 Q4,0,Growth & Spending
Operator Thank you,2022 Q4,2,Customer & Cards
The next question is coming from Rick Shane of J.P,2022 Q4,1,Executive & Financial
Morgan,2022 Q4,1,Executive & Financial
Please go ahead,2022 Q4,2,Customer & Cards
Rick Shane -- JPMorgan Chase and Company -- Analyst Thanks for taking my question,2022 Q4,1,Executive & Financial
"Look, when we look at Slide 5, its really interesting in terms of the contribution and the significant growth from millennials and Gen Z",2022 Q4,0,Growth & Spending
"And you guys have been really successful there, and weve seen that progress over time",2022 Q4,0,Growth & Spending
"Im curious, given that the millennial, Gen Z growth in the last year was basically 5x, you know, 4x to 5x other cohorts, and the significant loan growth, if we looked at this distribution by age cohort, not for build business but by portfolio in terms of borrowings, what the distribution, what would it look like, would millennials over-index versus the peers? Steve Squeri -- Chairman and Chief Executive Officer Well, the short answer, Rick, is no",2022 Q4,0,Growth & Spending
"When you think about the behavior of the millennials and Gen Zs, there are a few distinguishing features, and weve talked about these",2022 Q4,0,Growth & Spending
They tend to be more digitally engaged,2022 Q4,-1,General
"They tend to be more engaged with the overall value proposition, which we actually see as a good thing",2022 Q4,-1,General
"Because of that, they often will engage more quickly when they get a new product",2022 Q4,0,Growth & Spending
"But it also reminds you of the other stat weve talked about this morning, which is 70 of our growth in loans now is coming from existing customers",2022 Q4,0,Growth & Spending
"So, as we add a lot of these millennials there, that segment is still not adding as much to the loan growth because of the rebuild imbalances by your existing customers",2022 Q4,0,Growth & Spending
"So, while the behaviors of the younger cardmembers are, on average, similar to the older cardmembers, when you think about borrowing, just sort of the math here because youve got this rebuilding effect, wed say that theyre not driving that big a portion of our loan growth",2022 Q4,-1,General
Yeah,2022 Q4,2,Customer & Cards
"And, you know, we tend to get a higher share of their wallets, but they have lower -- they do have lower spending",2022 Q4,-1,General
"And, you know, the great part about millennials and Gen Zs is that there -- and depending on where you are in millennial, I mean, some millennials are 40 now",2022 Q4,0,Growth & Spending
"So, I mean, theyre in a, you know, a different thing",2022 Q4,-1,General
"But -- and the reality is the lifetime value of these cardholders is going to be significantly more than the lifetime value of, you know, acquiring a boomer or acquiring a Gen Xer right now",2022 Q4,0,Growth & Spending
And that is -- thats very attractive as well,2022 Q4,0,Growth & Spending
"And if you look again, Rick, on -- you know, on Page 5, youll see that -- look, its 30 of the build business growth",2022 Q4,-1,General
"On the other hand, you know, the boomer growth is only 6",2022 Q4,0,Growth & Spending
"And, you know -- and some of those have been leery to go back traveling still",2022 Q4,0,Growth & Spending
"So, you know, wed also expect that to go up",2022 Q4,-1,General
Operator Thank you,2022 Q4,2,Customer & Cards
The next question is coming from Dominick Gabriele of Oppenheimer,2022 Q4,1,Executive & Financial
Please go ahead,2022 Q4,2,Customer & Cards
"Dominick Gabriele -- Oppenheimer and Company -- Analyst Hey, good morning",2022 Q4,1,Executive & Financial
Good results,2022 Q4,2,Customer & Cards
"Jeff Campbell -- Chief Financial Officer Hey, Dominick",2022 Q4,1,Executive & Financial
Dominick Gabriele -- Oppenheimer and Company -- Analyst Good morning,2022 Q4,1,Executive & Financial
I just want to change the topic a little bit,2022 Q4,-1,General
"You know, I just wanted your updated thoughts",2022 Q4,-1,General
"If you could just remind everybody about your ability to make account-by-account purchase limit authorization decisions given, you know, many of the accounts dont actually have stated line sizes on the charge cards",2022 Q4,0,Growth & Spending
"So, Im just really wondering about severity of loss in a downturn versus, you know, the frequency is more based on unemployment, but your ability to really hone in on limiting the severity of loss given your underwriting techniques",2022 Q4,0,Growth & Spending
"Thanks so much, guys",2022 Q4,2,Customer & Cards
"Steve Squeri -- Chairman and Chief Executive Officer I mean, I think you just reminded us",2022 Q4,1,Executive & Financial
"You know, the reality is -- its couple of things, right? Number one, you know, we constantly go through and look at contingent liability thats not being utilized",2022 Q4,-1,General
"And so, you know, if we have somebody that has X for a line and theyre only using 25 of X, we may not keep X there that long",2022 Q4,-1,General
"We dont want to be a lender of last resort, right? Thats number one",2022 Q4,0,Growth & Spending
"Number two, you know, we also are -- you know, for new cardmembers, were raising those cycles -- raising the limit, excuse me -- raising the limit, the hurdle rate that we acquire cardmembers",2022 Q4,0,Growth & Spending
But we underwrite every transaction,2022 Q4,0,Growth & Spending
We make a credit decision not based on the line because most of our cardmembers do not have a line,2022 Q4,0,Growth & Spending
"I mean, obviously, traditional lending cards have line",2022 Q4,0,Growth & Spending
"But other than that, we are underwriting every single transaction",2022 Q4,0,Growth & Spending
"So, were not letting somebody just run it up because theyve run it up in the past",2022 Q4,-1,General
And were not letting somebody run up to a limit and have that write-off,2022 Q4,-1,General
One of the advantages of our model -- and Im not going to get into all the variables underneath for a couple of reasons,2022 Q4,0,Growth & Spending
"Number one, we dont have time",2022 Q4,-1,General
"And number two, its very complicated",2022 Q4,0,Growth & Spending
"And number three, I probably dont fully understand the whole thing either, but, you know, its -- it is an advantage",2022 Q4,0,Growth & Spending
This model is that every single transaction is adjudicated on its own merits,2022 Q4,0,Growth & Spending
Its not adjudicated based on an open-to-buy,2022 Q4,0,Growth & Spending
And that is very important,2022 Q4,0,Growth & Spending
"It also -- but you know, thats a -- from a credit perspective, thats a really reassuring thing",2022 Q4,0,Growth & Spending
"But from a spending perspective, it also enables why you read some of these stories of, hey, I just bought, you know, a painting for 75 million",2022 Q4,0,Growth & Spending
"Theres nobody that has a 75 million line, right? Now, those are very difficult underwriting decisions and, you know, not for the faint of heart",2022 Q4,-1,General
"But it does show that we make those same kind of decisions on a 200 purchase, on a 400 purchase",2022 Q4,0,Growth & Spending
"Every single transaction that comes through this system is adjudicated on its own merits, not on sort of some open to buy",2022 Q4,0,Growth & Spending
And that gives us great comfort in terms of not having somebody just run something up and then have something written off,2022 Q4,-1,General
Jeff Campbell -- Chief Financial Officer Yeah,2022 Q4,1,Executive & Financial
"And the only thing Ill add, I think that is a unique capability we have honed over many decades since we first started the charge card product",2022 Q4,0,Growth & Spending
"The other advantage of the charge card product, I would say, Dominick, is it does give us this population who is supposed to pay us in full every 30 days, which actually is almost like an early warning system from an overall risk management perspective, when there are problems that pop up in various parts of the world or various segments or various customer types",2022 Q4,0,Growth & Spending
And we think thats actually helpful to our overall results,2022 Q4,-1,General
"And its part of the many things that drives us historically and today to have, by far, best-in-class credit metrics",2022 Q4,0,Growth & Spending
Operator Thank you,2022 Q4,2,Customer & Cards
The next question is coming from Moshe Orenbuch of Credit Suisse,2022 Q4,-1,General
Please go ahead,2022 Q4,2,Customer & Cards
Moshe Orenbuch -- Credit Suisse -- Analyst Great,2022 Q4,-1,General
Great,2022 Q4,2,Customer & Cards
"Sorry to go back to the revenue guide, but Jeff -- and I appreciate the 25 revenue growth for the full year",2022 Q4,0,Growth & Spending
But the quarter was 17,2022 Q4,0,Growth & Spending
"And, you know, between you and Steve, you both said that, you know, there was going to be a slowdown",2022 Q4,3,Outlook & Guidance
"Still strong, obviously, but a slowdown in card fee revenue growth, and with the comments about margin, probably net interest income",2022 Q4,0,Growth & Spending
"So, I guess, you know, is there a part of the revenue base that you think is accelerating in 23? Jeff Campbell -- Chief Financial Officer Well, so two comments",2022 Q4,0,Growth & Spending
"I think its a good call, Moshe",2022 Q4,-1,General
"The first comment is, as you think about 2021, of course, the base year here, you saw things progressively pick up as you went through the years",2022 Q4,-1,General
"So, thats why, each quarter, our volumes, on a year-over-year basis, have slowed a little bit",2022 Q4,0,Growth & Spending
But we also have pointed out that I think youre sort of through that recovery period now,2022 Q4,0,Growth & Spending
"So, I think what you see in Q4, in our view, is very typical of what youre going to get",2022 Q4,-1,General
"Now, the one exception that we do think will accelerate is the net interest income piece because you do have customers continuing to rebuild balances",2022 Q4,0,Growth & Spending
"So, net card fees probably moderates a little bit, net interest income probably accelerates a little bit, but your discount revenue should be pretty consistent with what you have seen in this quarter",2022 Q4,0,Growth & Spending
And thats really the model that leads you from Q4 to what we expect for 2023,2022 Q4,-1,General
Operator Thank you,2022 Q4,2,Customer & Cards
The next question is coming from Bob Napoli of William Blair,2022 Q4,1,Executive & Financial
Please go ahead,2022 Q4,2,Customer & Cards
Robert Napoli -- William Blair and Company -- Analyst Thank you,2022 Q4,1,Executive & Financial
